,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
13987,USGS,1467024,Rancocas Creek at Bridgeboro NJ,ST-TS,40.02916667,-74.9316667,S,NAD83,NA,NA,NA,2040202,uv,10,NA,254796,NA,wat,NA,1645597,0,9/25/2019,5/27/2020,245
14000,USGS,1467059,Delaware River at Riverton NJ,ST-TS,40.01513889,-75.0176944,1,NAD83,-4,1.6,NAVD88,2040202,uv,10,NA,248413,NA,wat,NA,1645597,0,5/14/2019,5/27/2020,379
14395,USGS,1467081,South Branch Pennsauken Creek at Cherry Hill NJ,ST,39.94166667,-75.0011111,S,NAD83,8.12,0.01,NGVD29,2040202,uv,10,NA,256697,NA,wat,NA,1645597,0,11/7/2019,5/27/2020,202
14468,USGS,1467087,"Frankford Creek at Castor Ave, Philadelphia, PA",ST,40.0159454,-75.0968411,S,NAD83,16.56,0.1,NGVD29,2040202,uv,10,NA,121386,NA,wat,NA,1645597,0,10/1/2018,5/27/2020,604
15163,USGS,1467150,Cooper River at Haddonfield NJ,ST,39.90305556,-75.02138889,S,NAD83,9.29,0.02,NGVD29,2040202,uv,10,NA,261146,NA,wat,NA,1645597,0,2/25/2020,5/27/2020,92
15365,USGS,1467200,Delaware R at Ben Franklin Bridge at Philadelphia,ST,39.95400165,-75.1373987,S,NAD83,NA,NA,NA,2040202,uv,10,NA,121395,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
15366,USGS,1467200,Delaware R at Ben Franklin Bridge at Philadelphia,ST,39.95400165,-75.1373987,S,NAD83,NA,NA,NA,2040202,uv,10,NA,259389,"ISM Test Bed, [Lower Sonde]",wat,NA,1645597,0,1/16/2020,5/27/2020,132
15367,USGS,1467200,Delaware R at Ben Franklin Bridge at Philadelphia,ST,39.95400165,-75.1373987,S,NAD83,NA,NA,NA,2040202,uv,10,NA,259390,"ISM Test Bed, [Middle Sonde]",wat,NA,1645597,0,1/16/2020,5/27/2020,132
15368,USGS,1467200,Delaware R at Ben Franklin Bridge at Philadelphia,ST,39.95400165,-75.1373987,S,NAD83,NA,NA,NA,2040202,uv,10,NA,259391,"ISM Test Bed, [Upper Sonde]",wat,NA,1645597,0,1/16/2020,5/27/2020,132
15392,USGS,1471875,"Manatawny Creek near Spangsville, PA",ST,40.339538,-75.7421359,S,NAD83,265,20,NGVD29,2040203,uv,10,NA,240324,[(2)],wat,NA,1645597,0,9/27/2018,5/27/2020,608
15625,USGS,1473000,"Perkiomen Creek at Graterford, PA",ST,40.22954725,-75.451567,S,NAD83,112.66,0.01,NGVD29,2040203,uv,10,NA,243268,NA,wat,NA,1645597,0,11/29/2018,5/27/2020,545
16918,USGS,1474500,"Schuylkill River at Philadelphia, PA",ST,39.9678905,-75.1885123,S,NAD83,5.74,0.1,NGVD29,2040203,uv,10,NA,121543,NA,wat,NA,1645597,0,10/1/2018,5/27/2020,604
16944,USGS,1474703,"Delaware River at Fort Mifflin at Philadelphia, PA",ST,39.8792798,-75.20268029,S,NAD83,NA,NA,NA,2040202,uv,10,NA,121554,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
17356,USGS,1475510,"Darby Creek near Darby, PA",ST,39.92900154,-75.2724064,S,NAD83,19.41,20,NGVD29,2040202,uv,10,NA,243028,NA,wat,NA,1645597,0,11/19/2018,5/27/2020,555
17476,USGS,1477050,"Delaware River at Chester, PA",ST,39.84555556,-75.3508333,S,NAD83,NA,NA,NA,2040202,uv,10,NA,121609,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
17705,USGS,1477070,Raccoon Creek at Wrights Mill NJ,ST,39.6861111,-75.1844444,S,NAD83,85,5,NAVD88,2040202,uv,10,NA,260115,NA,wat,NA,1645597,0,1/29/2020,5/27/2020,119
18466,USGS,1477120,Raccoon Creek near Swedesboro NJ,ST,39.74055556,-75.2591667,S,NAD83,0,0.01,NGVD29,2040202,uv,10,NA,262332,NA,wat,NA,1645597,0,5/13/2020,5/27/2020,14
18553,USGS,1478000,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",ST,39.63738889,-75.72788889,S,NAD83,24.52,0.1,NAVD88,2040205,uv,10,NA,241017,NA,wat,NA,1645597,0,10/2/2018,5/27/2020,603
18600,USGS,1478100,"EB White Clay Creek Trib near London Grove, PA",ST,39.8584423,-75.7832743,S,NAD83,NA,NA,NA,2040205,uv,10,NA,258976,NA,wat,NA,1645597,0,1/15/2020,5/27/2020,133
18854,USGS,1478120,"East Branch White Clay Creek at Avondale, PA",ST,39.8284429,-75.780773,S,NAD83,270,10,NGVD29,2040205,uv,10,NA,256579,NA,wat,NA,1645597,0,11/14/2019,5/27/2020,195
18928,USGS,1478137,"Trout Run at Avondale, PA",ST,39.8217764,-75.7791061,U,NAD83,270,10,NGVD29,2040205,uv,10,NA,257051,NA,wat,NA,1645597,0,12/4/2019,5/27/2020,175
19185,USGS,1478220,"West Branch White Clay Creek near Chesterville, PA",ST,39.76566619,-75.7960492,S,NAD83,NA,NA,NA,2040205,uv,10,NA,259003,NA,wat,NA,1645597,0,3/5/2020,5/27/2020,83
19349,USGS,1478245,"White Clay Creek near Strickersville, PA",ST,39.7475,-75.7708333,1,NAD83,120,10,NGVD29,2040205,uv,10,NA,121621,NA,wat,NA,1645597,0,5/28/2017,5/27/2020,1095
19491,USGS,1478650,"WHITE CLAY CREEK AT NEWARK, DE",ST,39.6892222,-75.74875,S,NAD83,55.31,0.1,NAVD88,2040205,uv,10,NA,241016,NA,wat,NA,1645597,0,10/1/2018,5/27/2020,604
19497,USGS,1478950,"PIKE CREEK NEAR NEWARK, DE",ST,39.7068861,-75.6950944,S,NAD83,49,1.6,NAVD88,2040205,uv,10,NA,255051,NA,wat,NA,1645597,0,10/2/2019,5/27/2020,238
19624,USGS,1479000,"WHITE CLAY CREEK NEAR NEWARK, DE",ST,39.6992222,-75.67502778,S,NAD83,7.86,0.1,NAVD88,2040205,uv,10,NA,239814,NA,wat,NA,1645597,0,10/17/2018,5/27/2020,588
19687,USGS,1480000,"RED CLAY CREEK AT WOODDALE, DE",ST,39.76280556,-75.6365,S,NAD83,80.34,0.1,NAVD88,2040205,uv,10,NA,239813,NA,wat,NA,1645597,0,10/1/2018,5/27/2020,604
19930,USGS,1480629,"Buck Run at Doe Run, PA",ST,39.9295515,-75.82300028,S,NAD83,NA,NA,NA,2040205,uv,10,NA,258988,NA,wat,NA,1645597,0,2/13/2020,5/27/2020,104
20292,USGS,1481000,"Brandywine Creek at Chadds Ford, PA",ST,39.8698328,-75.5932623,S,NAD83,150.45,0.1,NGVD29,2040205,uv,10,NA,121683,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
20310,USGS,1482695,"C AND D CANAL NR DELAWARE CITY, DE",ST-CA,39.55405556,-75.6188611,1,NAD83,0,1.6,NAVD88,2040205,uv,10,NA,252643,NA,wat,NA,1645597,0,11/19/2019,5/27/2020,190
20323,USGS,1483050,Alloway Creek at Hancocks Bridge NJ,ES,39.5086111,-75.4605556,S,NAD83,0,0.1,NAVD88,2040206,uv,10,NA,241890,NA,wat,NA,1645597,0,10/12/2018,5/27/2020,593
20452,USGS,1484100,"BEAVERDAM BRANCH AT HOUSTON, DE",ST,38.90577778,-75.51275,S,NAD83,34.87,0.1,NAVD88,2040207,uv,10,NA,254191,NA,wat,NA,1645597,0,9/17/2019,5/27/2020,253
