web-scraper-order,bank,donor-num,donor-link-href,description,look-alikes,price,race,race-self-described,ethnicity,degree,occupation,weight,height,eye,eye-color-original,hair,hair-color-original,hair-texture,skintone,skin-tone-original,bloodType,donation-age,sign,fave-subjects,jewish,religion,religion-original,goals,pet,describes-himself,hobbies,dominant-hand,hairy-chest,generally-hairy,ear-lobes,beard-color,eyebrows,dimples,acne,acne-info,shoe-size,body-build,face-shape,lips,nose-shape,long-eyelashes,hair-loss,why-donate
1583187800-133,Fairfax,5394,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5394&s=1,"Donor 5394 is family-centered and introverted, with a deep love for sports and a drive to better himself. While quiet at times, this donor is naturally empathetic, and his compassion for others speaks volumes. Having once followed his dreams to play college, and then professional basketball, he now focuses his efforts on earning his graduate degree and pursuing his career in the field of psychology.  He  has smooth ebony skin and deep brown eyes. His thick black hair is kept short. His full lips are nearly the same deep tone of his skin, and his bright white teeth make his smile very noticeable. Standing tall at 6'5"", this donor's past experience with the game of basketball is not easily ignored and the muscular definition in his limbs gives evidence to his continued involvement in sports. He resembles actor Malik Yoba and has been told he looks like LeBron James by many friends.",,"$1,100",Black,Black,African American/African American,MA/Counseling,Client Advocate,215,77,Brown,Brown,Black,Black,Curly,5,Medium Dark,A+,29-34,Virgo,,no,Christian,Christian (Non-denominational),,Cat,,"Cooking, Sports",,,,,,,,,,,,,,,,,
1583187514-83,Fairfax,5395,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5395&s=1,"Donor 5395's motto is ""Always learn and grow."" He knows that even a failure is a chance to learn. He believes the morals and principles you live by define you. Close with his family and friends, he cares less about material possessions and more about experiences shared with others. He is adventurous and spontaneous. This donor has lustrous black hair, kept slightly long. His lips are naturally tinted a deep shade of rose, with a well-defined Cupid's bow, and his thick eyebrows sit atop soulful blue eyes. This donor has no problem maintaining a full beard if he wants to, but he prefers to keep his face shaved with a perpetual 5 o'clock shadow. Spending many years playing soccer, his legs are powerful, with the muscles distinctly toned. Friends tell him he resembles many famous people, but we think he looks like Paul Schneider.",,$975,Mixed,Multi,Ecuadorian/German-Scottish,AA/Art History,Customer Service,171,68,Blue,Blue,Black,Black,Straight,3,Medium,A+,29-34,Libra,,no,Christian,Christian (Catholic),,Dog,,"Guitar, Sports",,,,,,,,,,,,,,,,,
1583187632-86,Fairfax,5396,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5396&s=1,"Donor 5396 is a kind, humble, easygoing man with the ability to put everyone around him at ease. This useful skill is particularly handy when he is trying to calm distressed patients in his line of work. He believes empathy and patience for others are some of the greatest qualities a person can have. Donor 5396 is a family man at heart and from a young age has dreamed of having kids. His other great passion in life is hockey, and he demonstrates a high level of commitment to the sport and comradery with his fellow teammates, treating them almost like a second family. A good looking man, his soft blue eyes hold a calm, focused gaze and complement his fair skin beautifully. His fit build is a result of his devotion to hockey and his often flushed, ruddy cheeks give him the appearance of someone who's just come off the ice. He resembles a young Jack Coleman.",,$975,White,White,English-German-Native American/Scottish,AS/Surgical Technology,Surgical Technologist,174,70,Blue,Blue,Blonde,Blonde,Straight,1,Light,A+,35-39,Cancer,"Mathematics, Natural Science, Technology",no,Atheist,None (Atheist),"Financial Security, Marriage/Family, Rewarding Career, To Be Happy, To Help People",Dog,,"Fishing, Hockey",,,,,,,,,,,,,,,,,
1583187847-155,Fairfax,5398,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5398&s=1,"Donor 5398 is a born adventurer. He has traveled extensively and is fluent in three languages. Self-reflective, he is a critical thinker and approaches life with a well thought-out plan. He is patient and relaxed, and few things rattle him. Being on the water, sailing and recreating, is a passion of his. He considers himself open minded and wants be in a profession that helps others. His fifteen years in military intelligence has been rewarding. He is well read and has a way with words that draws your attention and holds it. This donor loves being part of a crowd and he fully immerses himself in the local culture, wherever he happens to be. Years of rowing and sailing have given him a powerfully toned upper body. His dark, wavy hair appears windswept, giving this donor a bold, intrepid appearance. His light brown eyes gleam with enthusiasm when he recounts his latest ventures. His beautiful, sculpted lips wear a charming smile when he speaks.",,"$1,100",White,White,French Canadian-German/Irish-Scottish-Welsh,BS/Intelligence Operations,Military,190,72,Brown,Brown,Black,Black,Wavy,3,Medium,O+,35-39,Scorpio,"Languages, Other, Technology",no,Christian,Christian (Catholic),"Community Service, Further Education, Marriage/Family, Rewarding Career, To Help People, Travel",Dog,,"Rowing, Sailing, Team Sports",,,,,,,,,,,,,,,,,
1583187810-138,Fairfax,5400,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5400&s=1,"Donor 5400 is easygoing and has a great sense of humor. He engages easily in conversation. A hard worker, he wants to always do his best. He enjoys a wide variety of activities, from exercising and being outside, to trying to learn different languages and being knowledgeable about different cultures. Playing the guitar is also a passion. He is a handsome man with short brown hair and soft, light green eyes. He has a very pleasant and bright smile that accompanies his gentle and kind facial features. He resembles actor David Denman.",,"$1,100",White,White,German-Irish/Polish,BS/Management,Train Conductor,211,71,Green,Green,Brown,Brown,Straight,1,Light,O+,29-34,Leo,"Natural Science, Other, Social Science, Technology",no,Christian,Christian (Protestant),"Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, Travel",Dog,,"Electronics, Guitar, Landscaping",,,,,,,,,,,,,,,,,
1583187021-38,Fairfax,5402,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5402&s=1,"Donor 5402 is a very happy man; laid back and always with a smile on his face. He is very friendly, talkative, and caring. He plays the guitar and ukulele and loves learning on his own. He has a passion for baseball and also likes to stay home and watch some sporting events with his family. He is a very charming young man with a likeable personality. He has a great smile, rosy cheeks, straight blond hair, and warm brown eyes. He takes care of his body and is physically fit. He resembles a young Jorgen Klopp, the manager of the Liverpool soccer team.",,"$1,100",White,White,English-French-Ger.-Lithuanian/German,BS/Chemical Engineering,Downstream Scientist,187,69,Brown,Brown,Blonde,Blonde,Straight,3,Medium,A+,23-28,Cancer,Natural Science,no,Christian,Christian (Agnostic),"Financial Security, Improve Environment, Success, To Be Happy, To Help People, Travel","Cat, Dog",,"Astrology, Cooking, Fitness, Guitar, Sports, Ukulele",,,,,,,,,,,,,,,,,
1583188220-253,Fairfax,5404,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5404&s=1,"Donor 5404 has a very laid back personality and is fun to be around. Well-spoken and goal oriented, he is determined to be successful. He enjoys spending time with his friends and family, but also enjoys his alone time and being able to focus on schoolwork and reading for pleasure. His creative talent shows in redesigning vintage clothing. Our staff finds him very handsome. He is athletic and has played intense sports such as basketball, football and track. He resembles Sean Patrick Thomas.",,$975,Black,Black,African Amer.-Irish-Native American/Nigerian-African American,BA/Business & Public Affairs,Retail,193,70,Brown,Brown,Black,Black,Curly,3,Medium,A+,23-28,Pisces,"Arts, History",no,Christian,Christian (Non-denominational),"Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family",Dog,,"Fashion, Music, Sports, Working out",,,,,,,,,,,,,,,,,
1583188224-255,Fairfax,5406,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5406&s=1,"Donor 5406 is very friendly, open and easy to talk to. He is intelligent and well-rounded with a variety of interests. He enjoys singing and playing the harmonica. A good public speaker, he has won awards in competitions and is a student ambassador at his college. He is outgoing and approachable. His love of technology and mathematics has led him to pursue a career in engineering. He has a desire to see others treated fairly, allowing people to pursue their lives as they wish without judgement. Being respectful to others is very important to him. He has friendly brown eyes and a very warm smile. He also has a strong build. An avid snowboarder, he loves to spend time outdoors with friends. He resembles Shia LaBeouf.",,"$1,005",White,White,Eng.-Irish-Nat Amer.-Ukrainian/German-Ukrainian-Irish,BS/Mechanical Engineering,Student,238,69,Brown,Brown,Brown,Brown,Curly,3,Medium,O-,18-22,Cancer,"History, Mathematics, Technology",no,Agnostic,Other (Agnostic),"Financial Security, Marriage/Family, Rewarding Career, To Be Happy, Travel",Dog,,"Harmonica, Public speaking, Skiing, Snowboarding",,,,,,,,,,,,,,,,,
1583187486-70,Fairfax,5411,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5411&s=1,"Donor 5411 is well-spoken, actively engages in friendly conversation with lab staff, and is very approachable. He has a contagious laugh that brightens the atmosphere of any room he walks into. He enjoys a wide variety of activities from drawing, to baseball and basketball. He is an avid tennis player. He is tall, with black hair and deep, brown eyes. He has very prominent Asian facial features, with round cheeks that carry a very welcoming smile. He resembles actor Brian Tee.",,$975,Asian,Asian,Korean/Korean,M.Ed./Organizational Devel.,Academic Advisor,240,71,Brown,Brown,Black,Black,Straight,3,Medium,A-,23-28,Pisces,"Mathematics, Natural Science, Psychology, Technology",no,Agnostic,Other (Agnostic),"Financial Security, Marriage/Family, Rewarding Career, Success, To Help People",Dog,,"Clarinet, Drawing, Piano, Tennis",,,,,,,,,,,,,,,,,
1583187638-89,Fairfax,5413,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5413&s=1,"Donor 5413 is a true gentleman. He carries himself very well and is charismatic, able to strike up a conversation easily.  He gives the impression of being a kind and genuine young man. A devoted husband and father, he adores his two children and spending time with his family. He has a lean, muscular build that he maintains with frequent exercise. He is passionate about tennis and cricket. He has a handsome smile that is complemented by his slight dimples. He looks like Aziz Ansari.",,$975,Asian,Asian,Indian/Indian,MS/Pharmaceutical Mfg.,Software Engineer,153,66,Brown,Brown,Black,Black,Straight,3,Medium,B+,29-34,Aries,"History, Mathematics, Social Science",no,Hindu,Hindu,"To Be Happy, To Help People",Dog,,Sports,,,,,,,,,,,,,,,,,
1583188459-326,Fairfax,5417,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5417&s=1,"Donor 5417 is an accomplished physician who is passionate about his career. He is the definition of a gentleman. He is well-mannered, polite and very charming. He is intelligent and hard-working, and is an exceptional teacher within his medical profession. He is a great father who is devoted to his daughters and he loves to tell stories about them. A talented musician, he plays the guitar. He also loves to cook. This donor is fit, with an athletic build and a tall and confident stature. He is committed to his strength training regime. He is good looking with a bright, attractive smile that can light up a room. He looks like singer Charles Kelley.",,,White,White,German-Irish-Polish-Swedish/Polish,MD/Medicine,Physician,191,74,Brown,Brown,Brown,Brown,Straight,3,Medium,O+,29-34,Gemini,"History, Natural Science, Other, Psychology, Social Science",no,Atheist,None (Atheist),"Community Service, Financial Security, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People",Dog,,"Basketball, Guitar, Reading, Strength training, Teaching",,,,,,,,,,,,,,,,,
1583188016-204,Fairfax,5419,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5419&s=1,"Donor 5419 is intelligent, confident and would like to travel the world. He has years of experience playing piano, baritone horn and singing, and he really enjoys listening to classic jazz. His hobbies include computer programming, and participating in sports like baseball, basketball and swimming. His fit build is not surprising, given his athletic activities. He is tall, and has attractive green eyes that are perfectly framed by straight brown hair. Our staff says he has sophisticated good looks. He resembles actor Matthew Atkinson.",,$975,Mixed,Multi,Peruvian/Yugoslavian,MS/Investment Management,Financial Analyst,209,70,Green,Green,Brown,Brown,Straight,3,Medium Light,O+,23-28,Cancer,"History, Languages, Mathematics",no,Christian,Christian (Non-denominational),Improve Environment,Dog,,"Athletics, Computers, Cooking, Music",,,,,,,,,,,,,,,,,
1583188232-259,Fairfax,5421,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5421&s=1,"Donor 5421 is respectful and always engages in pleasant, intelligent conversations with the staff. He is soft-spoken but assertive. Math is easy for him and he is inspired to help others in his career as a biomedical engineer. He has a relaxed demeanor and enjoys being outdoors - especially while hiking or playing soccer. He is tall with an athletic build. Our staff finds him good looking. He has a warm, captivating smile. He looks like actor Manish Dayal.",,$975,Hispanic,Latino,Colombian/Colombian,BS/Biomedical Engineering,Student,200,73,Black,Black,Black,Black,Straight,3,Medium Light,O+,18-22,Aquarius,"Mathematics, Natural Science, Psychology, Social Science, Technology",no,Not Listed,None,"Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Cooking, Dancing, Guitar, Hiking, Reading, Soccer",,,,,,,,,,,,,,,,,
1583188234-260,Fairfax,5422,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5422&s=1,"Donor 5422 is articulate and well read. He is animated and passionate about life and achieving his goals. He has a charming, uplifting personality. He considers himself a simple man with simple pleasures. He loves to travel and has lived in many different countries growing up. He is a man who sets high standards for himself and is driven to achieve his goals. His smile is the first thing you notice. Along with his bright smile and deep laugh, this donor's muscular physique makes him stand out in a crowd. Always well dressed and groomed, this donor will catch the glance of many when he walks into a room.",,"$1,100",Black,Black,Afro-Amerindian/Afro-Amerindian,BS/Computer Science,Web Developer,188,67,Brown,Brown,Black,Black,Curly,5,Medium Dark,A+,29-34,Sagittarius,"Arts, History, Languages, Technology",no,Agnostic,Other (Agnostic),"Fame, Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, Travel",Cat,,"Hiking, Reading, Travel",,,,,,,,,,,,,,,,,
1583188290-287,Fairfax,5423,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5423&s=1,"Donor 5423 is bright, kind, creative and a sociable person. He has good morals and thinks it's very important to stay connected with family and friends since he values all his relationships. He is a relaxed person but at the same time is highly motivated and has a good work ethic. Although donor 5423 is extremely interested in video gaming and video editing, he also enjoys being unplugged and spending time reading a good book just for fun, or spending time with loved ones. He is tall and slim. He has enchanting blue eyes and wavy brown hair that he tosses around in an attractive manner. He has a charming smile and sweet countenance that give off a genuine warmness, making it easy to approach him. This donor always comes to the lab well-dressed and radiating positive energy with his pleasant personality. He also has a fair complexion and symmetrical features that make him handsome. He resembles John Francis Daley.",,"$1,100",White,White,Irish/English-Irish-Welsh,BS/Marketing,Restaurant Server,150,70,Blue,Blue,Brown,Brown,Wavy,1,Light,A+,23-28,Pisces,"Arts, Natural Science, Other, Technology",no,Atheist,None (Atheist),"Financial Security, Rewarding Career, To Be Happy, Travel",Dog,,"Basketball, Drawing, Reading, Snowboarding, Video editing",,,,,,,,,,,,,,,,,
1583188468-330,Fairfax,5426,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5426&s=1,"Donor 5426 is very kind and gentle hearted. He is the type of guy that, with just a smile, can calm another person. He has a genuine personality with a confident aura about him. He is also a very talented cook, and enjoys staying physically fit through playing sports. Preserving the environment is a passion. This donor is a very attractive gentleman. With bright blue eyes, a strong jawline and a close resemblance to a young Patrick Dempsey, this donor catches a lot of positive attention. He has a nice, fit build.",,,White,White,Portuguese/Italian,BS/Culinary Science,Product Development Manager,170,71,Blue,Blue,Brown,Brown,Wavy,3,Medium,O-,23-28,Cancer,,no,Atheist,None (Atheist),,Dog,,Sports,,,,,,,,,,,,,,,,,
1583187501-77,Fairfax,5432,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5432&s=1,"Donor 5432 is very friendly and easygoing. A successful entrepreneur, he also has a wide range of interests including music and traveling. He is bilingual, ambidextrous, and is self-taught at guitar. He enjoys yoga, football, golf, and dancing to maintain his physique and he has a fun, competitive spirit. Our staff finds him tremendously charming, with a warm, welcoming voice with a soothing tone. He has the ability to carry on a conversation about almost any topic. A good listener, he is always asking questions about topics he wants to know more about. He also has a great sense of style; his beard is kept neatly trimmed and his hair is always groomed, giving him a cool, sexy presence that pairs nicely with his hazel eyes. Without a doubt, this donor's very fit physique and approachable manner grants him a lot of attention. He has had several people comment on how much he looks like Keanu Reeves.",,$975,White,White,Irish-Italian/Italian-Jewish-German,BA/Business Administration,VP of Business Development,190,69,Hazel,Hazel,Brown,Brown,Straight,3,Medium Light,O-,29-34,Aries,,yes,Christian,Christian (Catholic),,Dog,,"Dancing, Guitar",,,,,,,,,,,,,,,,,
1583187825-145,Fairfax,5440,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5440&s=1,"Donor 5440 is a gentle soul and is always calm, polite and respectful. He is very intelligent and enjoys tutoring other students because he finds fulfillment in helping others find answers to their questions. Aside from academics, he is very musically inclined as he has played the guitar and piano for four years. Music is a huge passion of his, and he makes an effort to practice and improve. This donor is one of a kind and most certainly one of the nicest donors we have ever met. He is slim, with beautiful brown eyes which would make anyone want to give him a hug. He has silky brown wavy hair, which complements his skin tone. His smile is the sweetest, most genuine smile you'll see and when you do see him smile you'll know you're in the company of a friend. He looks like actor Jaycee Chan.",,"$1,100",Mixed,Multi,Indonesian-Japanese/English-German-Rus (Jewish)-Welsh,AA/Liberal Studies,Agricultural Technician,138,68,Brown,Brown,Brown,Brown,Wavy,3,Medium Light,AB+,23-28,Sagittarius,"Arts, History, Languages, Mathematics, Natural Science, Psychology, Social Science, Technology",yes,Jewish,Jewish,"Community Service, Fame, Financial Security, Further Education, Improve Environment, Marriage/Family, Politics, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel",Cat,,"Billiards, Guitar, Piano, Sports",,,,,,,,,,,,,,,,,
1583188029-210,Fairfax,5445,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5445&s=1,"Donor 5445 carries himself like a true gentleman. He is always sure to greet anyone with a ""Good morning"" or ""Good afternoon."" He is very conversational and outgoing. He will ask how you are doing and genuinely care what you have to say. He is interested in physical fitness and eating healthy. He has an entrepreneurial mindset; he is the founder of his own start-up company. He is very driven and, once he has a goal in mind, he makes sure to do everything in his power to accomplish it. Tall, muscular and handsome, he has kind and warm brown eyes. He usually carries a big beautiful smile from ear to ear. His smile is the best when you can see his dimples. He looks like football player Adrian Peterson.",,$975,Black,Black,West Indian/African Amer.-Irish-Native American,BS/Biology,Business Owner,210,75,Brown,Brown,Black,Black,Curly,5,Medium Dark,O+,23-28,Scorpio,"Arts, Mathematics, Natural Science",no,Christian,Christian (Non-denominational),"Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Success, To Be Happy, To Help People, Travel",Dog,,"Poetry, Sports",,,,,,,,,,,,,,,,,
1583188474-333,Fairfax,5449,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5449&s=1,"Donor 5449 is a handsome, bright and selfless person. He is extremely respectful and well-cultured, which has allowed him to be more accepting of others as they are. This donor chooses to see the brighter side of things and likes the idea that love is the strongest type of magic in the world. He lives in the moment and thinks it's important to have joy in life. Straightforward, easygoing and relaxed, he is highly motivated, a go-getter with high moral standards. He has a tremendous love for playing music. It is obvious that this donor cares about his appearance since he always dresses to impress. He has a light complexion, dirty blond hair and big blue eyes. This donor is light on his feet and seems like the type of person you would find playing his guitar quietly in the corner.",,,White,White,Scottish-Welsh/Danish-English,MPA/Government Administration,University Program Director,165,74,Blue,Blue,Blonde,Blonde,Wavy,1,Light,O-,29-34,Taurus,"History, Social Science",no,Unitarian,Other (Unitarian),"Community Service, Financial Security, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Guitar, Piano, Soccer",,,,,,,,,,,,,,,,,
1583188299-291,Fairfax,5467,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5467&s=1,"Donor 5467 has a philosophical disposition and is very interested in figuring out the world and understanding lots of different cultures. Because of his difficult childhood growing up overseas, he has learned to appreciate stability, dependability and safety. He jumps at all opportunities that present themselves to him. He has a natural talent for writing and playing music that he started when he bought himself an electric guitar and taught himself how to play. He is the type of person that puts his maximum effort into everything he does, and immerses himself in different experiences. Our staff finds this donor a very good looking man. He has an athletic build with a wide back and defined muscles, which are attributable to his dedication to physical fitness. He loves to try different forms of exercise, including rock climbing, mountain biking and mixed martial arts. He has symmetrical and prominent facial features that immediately catch your attention. He resembles Billy Hall Bush.",,"$1,100",White,White,Russian/Ukrainian,BS/Kinesiology,Service Coordinator,213,74,Hazel,Hazel,Brown,Brown,Straight,1,Light,A+,23-28,Cancer,"Arts, Languages, Natural Science, Psychology",no,Not Listed,None,"Financial Security, Improve Environment, Marriage/Family, Recognition, Rewarding Career",Dog,,"Art, Music",,,,,,,,,,,,,,,,,
1583188480-336,Fairfax,5471,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5471&s=1,"Donor 5471 is a genuinely polite young man. He is soft spoken and patient; he never appears agitated. When speaking with this donor he maintains eye contact, letting you know that you have his full attention and he is engaged in the conversation. He has the body of a top athlete. He is tall, and has great muscle definition thanks to his continuous athletic activities. He is an avid basketball player, so much so that he was awarded Most Valuable Athlete in high school. Along with his great physique, this young man has a great sense of style; he is always well-dressed and well-groomed.",,,Black,Black,African American/African American,BA/Communications,Behavior Monitoring,195,74,Brown,Brown,Black,Black,Curly,3,Medium,O-,29-34,Leo,"Arts, History, Psychology",no,Christian,Christian (Baptist),"Financial Security, Further Education, God/Religion, Success, To Be Happy, To Help People, Travel",,,Drums,,,,,,,,,,,,,,,,,
1583188303-293,Fairfax,5473,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5473&s=1,"Donor 5473 is a very kind, optimistic person who always greets you with a smile. He is well mannered and speaks with a clear, strong voice. Very ambitious and career-driven; he has a bachelor's in mechanical engineering and is currently pursuing an MBA. In his free time, he enjoys exercising and keeping in shape, watching new shows on Netflix, and reading-up on current events. He is very close to his mother and values hard work and doing your very best to achieve the outcome you want in life. Our staff finds him very handsome and friendly. He has beautiful hazel eyes that you want to gaze at all day. His healthy, luscious hair seems to flow very effortlessly. He has a well-defined jaw that perfectly accentuates his facial features, especially when he grows his facial hair out a bit. Donor 5473 is a very good looking individual. He resembles actor Galen Gering.",,$975,White,White,Irish-Italian/German,MBA,Engineer,170,70,Hazel,Hazel,Brown,Brown,Wavy,3,Medium,B+,29-34,Leo,Mathematics,no,Atheist,None (Atheist),"Financial Security, Improve Environment, Marriage/Family, Rewarding Career, To Be Happy, To Help People, Travel",Dog,,"Exercising, Reading, Sports",,,,,,,,,,,,,,,,,
1583186959-8,Fairfax,5474,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5474&s=1,"Donor 5474 is a very sweet and kind man. He greets you with a smile and has a very positive outlook on life. Ambitious and hardworking, he is always looking for ways to better himself. Putting the community interest over his own is a core value for him. He cares deeply about his family and friends and is a loving father of a young son. Every day starts with a prayer. He lives a healthy lifestyle and enjoys cooking, even his favorite ethnic dishes that take a lot of time. He is an avid soccer fan and is active himself, pursuing boxing and soccer in his free time. His dark, kind eyes draw you in. He has full lips and a bright smile. We think he is a good looking man. He looks like British actor David Oyelowo.",,$975,Black,Black,African (Côte d’Ivoire)/African (Côte d’Ivoire),MBA/Business Administration,Commercial Underwriter,236,70,Black,Black,Black,Black,Straight,6,Dark,B+,29-34,Cancer,"History, Languages, Mathematics",,Muslim,Islam,"Community Service, Marriage/Family, To Be Happy, To Help People",Cat,,"Boxing, Cooking, Outdoors, Soccer",,,,,,,,,,,,,,,,,
1583187508-80,Fairfax,5475,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5475&s=1,"Donor 5475 is adventurous, with a hunger for knowledge. Kindness and respect for others matter to him. Having lived in Japan, Africa as well as the US, he has an appreciation for the diversity of the world. This donor is not afraid of engaging in conversation with whoever crosses his path, and enjoys speaking with all kinds of people. This donor has a wide variety of interests, including cooking; he enjoys being in the kitchen and trying new recipes. He has a very athletic build with defined, muscular arms. This donor keeps in shape as an active cyclist and through weekly sessions in the gym, along with his active hobbies such as rock climbing, hiking, camping, archery, and basketball. He is very handsome and has the jawline of Daniel Dae Kim, but the softer facial features of Leonardo Nam.",,$975,Mixed,Multi,English-Scottish/Japanese,BA/Biology,Bartender,165,70,Brown,Brown,Black,Black,Straight,3,Medium,A+,29-34,Cancer,"Mathematics, Natural Science",no,Shinto,Other (Shinto),"Community Service, Financial Security, Improve Environment, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Archery, Camping, Cooking, Cycling, Hiking, Rock Climbing",,,,,,,,,,,,,,,,,
1583187874-168,Fairfax,5480,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5480&s=1,"Donor 5480 is very compassionate and kind. He is immersed in his career and hopes to be an athletic director for a college. Although he is serious about his work, he also balances leisure time and tries not to take himself too seriously. He enjoys watching all kinds of sports but favors basketball. Family is very important to him and he tries to spend as much time with them as he can, even if it just means having Sunday dinner together. He has thick dark hair, which nicely complements his skin tone. He has a beautifully unique shade of brown eyes that really makes you want to look closer. He has soft facial features and a warm, comforting smile. Donor 5480 has an early salt and pepper charm that adds to his good looking appearance. Our staff finds him cute and thinks he resembles actor James Wolk.",,$975,White,White,Irish/Irish,MA/Social Sciences,Fundraiser,177,72,Brown,Brown,Black,Black,Straight,3,Medium Light,O+,23-28,Aries,"Mathematics, Social Science",no,Christian,Christian (Catholic),"Community Service, Financial Security, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,Sports,,,,,,,,,,,,,,,,,
1583187510-81,Fairfax,5488,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5488&s=1,"Donor 5488 has a composed and stoic personality. He is someone who is confident in himself and remains composed in difficult situations. With a great sense of humor, he has a number of funny stories to tell. He is humble with a caring spirit. Yet he is career oriented, and sets high goals for himself with the confidence that he will achieve them all. One of his passions is playing the drums, something he started at a young age and still does today. He has beautiful blue eyes and rich red hair. He plays a number of sports such as tennis and basketball, which allows him a slender, athletic build. Furthermore, this donor is well groomed and dresses to impress.",,$975,White,White,German-Irish-Polish (Jewish)/Polish (Jewish)-Russian,Cert./Health Care Admin.,Healthcare Administration,165,68,Blue,Blue,Red,Red,Wavy,1,Light,A+,29-34,Taurus,"Mathematics, Psychology, Technology",yes,Agnostic,Other (Agnostic),"Community Service, Financial Security, Further Education, Improve Environment, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Cooking, Drums, Sports",,,,,,,,,,,,,,,,,
1583188267-276,Fairfax,5497,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5497&s=1,"Donor 5497 is a kind and thoughtful person. His positive energy is evident. He admires those who can speak up for themselves without being prideful. Driven to become a law enforcement agent, he works hard every day to accomplish this goal. He is very family oriented and enjoys get-togethers where he can catch up with everyone. Raised in a single parent home, he learned to be self-sufficient early and is focused on a successful future. He has a very strong build. He is tall with prominent shoulders. He believes that staying fit and living a healthy lifestyle helps the mind. His beautiful smile is contagious.",,$975,Black,Black,African Amer.-Native Amer./African American,BA/Criminal Justice,Security Supervisor,211,75,Brown,Brown,Black,Black,Curly,5,Medium Dark,O+,23-28,Gemini,"Social Science, Technology",no,Christian,Christian (Pentecostal),"Community Service, Financial Security, God/Religion, Improve Environment, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,Basketball,,,,,,,,,,,,,,,,,
1583188276-280,Fairfax,5507,https://fairfaxcryobank.com/search/donorprofile.aspx?number=5507&s=1,"Donor 5507 is an organized and goal-oriented individual with a penchant for athletic activities. He is studying to be a physical therapist and is highly intelligent. Extremely focused on doing well in academics, he structures his daily activities to maximize productivity. Physical activities and overall fitness are important to him. He believes in maintaining strong mental and physical performances. This donor has electric blue eyes and pink lips adorned by a neatly trimmed beard. He has a pleasant long, oval face which usually has a neutral expression. Once comfortable, his neutral face breaks into a smile displaying straight, white teeth. Our staff considers him a handsome man. He resembles singer Charles Kelley.",,$885,White,White,English-Irish-Scottish/Irish-Italian,DPT/Physical Therapy,"Lab Assistant, Student",165,69,Blue,Blue,Brown,Brown,Straight,1,Light,A+,23-28,Libra,"History, Mathematics, Natural Science, Psychology, Social Science",no,Not Listed,None,"Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Friends and family, Guitar, Reading, Sports, Trumpet",,,,,,,,,,,,,,,,,
